pool_id,Protocol,Chain,Asset,APY (%),TVL ($M),TVL Score,Avg APY 30d,Volatility,Sharpe
effcb4a4-4dcb-45e5-935d-f15542c13e6b,aave-v3,Ethereum,USDC,2.04,2.5,5,,,
76b7445f-8416-49d9-a2a0-4899026e8272,morpho-v1,Base,WEETH,0.0,2.5,5,,,
6c6259b6-1226-40ca-9369-9940fdd25b0a,morpho-v1,Base,GTWETHC,1.92,2.5,5,,,
caa9ffc0-2983-4c18-9556-4e3ad4dfe6ac,morpho-v1,Ethereum,ROXUSDCY,6.0,2.3,5,,,
bfef0bc9-83cf-4630-950b-51d607b7365b,morpho-v1,Ethereum,WSTETH,0.0,2.3,5,,,
44a19d19-a39e-461a-953d-d7c95a757539,morpho-v1,Ethereum,KUSDC,4.7,2.3,5,,,
e5ae2d07-73c6-4f33-a1db-3da50811f067,morpho-v1,Ethereum,WBRAVUSDC,0.0,2.2,5,,,
0c8567f8-ba5b-41ad-80de-00a71895eb19,compound-v3,Base,USDC,2.84,2.2,5,,,
7993b97d-12c3-4a36-b6b6-5b37bac4f8ae,compound-v3,Base,WETH,1.32,2.2,5,,,
8babc86d-eae8-4e39-8fe8-e7c5843c8c21,morpho-v1,Ethereum,HYPERETHA,2.04,2.1,5,,,
fd1257f6-a7b6-4f2f-8b3e-2805a4f4509a,morpho-v1,Ethereum,KABUUSDC,2.76,2.0,5,,,
6073c893-d1fe-4408-b9d7-ba3039f27e5b,morpho-v1,Ethereum,KABUUSDC,2.8,2.0,5,,,
800c94ce-23db-4ee8-ab56-44fe0da9905f,morpho-v1,Base,RE7USDC,7.89,2.0,5,,,
66a33b4a-7867-4159-8d25-22eb15044e84,morpho-v1,Arbitrum,KPK-USDC-YIELD,4.53,2.0,5,,,
65ce8276-b4d9-41ba-9f6f-21fc374cf9bc,sparklend,Ethereum,USDC,4.12,1.9,3,,,
44037889-7a8c-45f9-802b-ebd87ea2d8ca,compound-v3,Base,WSUPEROETHB,0.0,1.9,3,,,
7803ce5b-53b3-4192-b855-8cb383e19050,compound-v3,Base,WSTETH,0.0,1.9,3,,,
d78f63a2-98c4-481b-9f3d-147505dd9974,morpho-v1,Ethereum,GTDAICORE,1.88,1.8,3,,,
7bae3517-56f1-4c65-8480-904030d70343,compound-v3,Base,CBETH,0.0,1.8,3,,,
4828569b-ddba-42a7-9bf9-e7e6d809112d,morpho-v1,Ethereum,KUSDC,4.61,1.8,3,,,
e040bdef-6e6e-4627-bc88-75a0b26605b0,morpho-v1,Base,CBETH,0.0,1.8,3,,,
efe23601-e203-459f-a800-8a12894c3fd4,morpho-v1,Ethereum,MHYPERETH,0.0,1.7,3,,,
f447b0be-ed38-44a7-897d-873863b5e6df,morpho-v1,Ethereum,BBQDAI,1.52,1.7,3,,,
525c6864-6e24-4d23-aa44-62344acdf527,morpho-v1,Base,WSTETH,0.0,1.7,3,,,
a8e3d841-2788-4647-ad54-5a36fac451b1,aave-v3,Arbitrum,DAI,1.81,1.6,3,,,
65653183-7d69-408f-a76c-9dd2914f306f,morpho-v1,Base,GTUSDCC,3.88,1.6,3,,,
7c9210dc-9550-47eb-b73c-5774aa629c96,morpho-v1,Ethereum,CRONOSUSDC,2.28,1.6,3,,,
8abc02dc-9d64-4962-9a7c-a21eb5187ba4,morpho-v1,Ethereum,HYPERUSDCC,5.61,1.6,3,,,
48470f4d-1efc-4810-9ec7-0247d0b42a41,morpho-v1,Ethereum,WSTETH,0.0,1.6,3,,,
b1bbfcb3-6af7-4511-8ec6-e1b3eacf4a74,morpho-v1,Base,WETH,0.0,1.5,3,,,
1cfe1261-cbc9-4607-88e0-6b5d831de67a,morpho-v1,Ethereum,AVGUSDCDYN,3.2,1.5,3,,,
6e642655-9c87-4d5b-8237-f45cfd42a920,compound-v3,Arbitrum,WEETH,0.0,1.5,3,,,
91213fb6-1d6b-45de-b6a0-22747de02778,morpho-v1,Arbitrum,KPK-USDC-YIELDV2,4.2,1.4,3,,,
7e4ed8cf-5907-4d4d-81dd-4d2dbc417736,morpho-v1,Ethereum,HGETH,0.0,1.3,3,,,
e1ae4efd-66c5-4d15-8fcc-a7411263ad26,morpho-v1,Ethereum,KPK-ETH-YIELD,13.65,1.3,3,,,
61faa6f7-db51-4205-b090-7d8bfacbad72,morpho-v1,Base,CBETH,0.0,1.3,3,,,
24dab21e-a9b8-4369-b965-d96dc4911558,morpho-v1,Ethereum,KPK-ETH-YIELDV2,2.92,1.3,3,,,
e6177839-9cd7-4ea4-9a8c-18ff91fbffd6,morpho-v1,Ethereum,GTEUSDC,7.01,1.3,3,,,
0bd46e52-cddc-4c50-bcd1-1e4b9a39815d,morpho-v1,Ethereum,RSETH,0.0,1.2,3,,,
47548a32-63c2-4485-b348-eac2cc3a587f,morpho-v1,Base,RE7USDC,7.13,1.2,3,,,
a907f2b8-7569-4cdc-b722-4c959576be1a,morpho-v1,Ethereum,HYPERUSDCC,5.41,1.2,3,,,
